timestamp,temperature_celsius
2024-09-01T08:00:00,4.165
2024-09-01T09:00:00,3.789
2024-09-01T10:00:00,3.964
2024-09-01T11:00:00,3.514
2024-09-01T12:00:00,3.297
2024-09-01T13:00:00,4.283
2024-09-01T14:00:00,3.705
2024-09-01T15:00:00,3.863
2024-09-01T16:00:00,3.584
2024-09-01T17:00:00,3.577
2024-09-01T18:00:00,3.948
2024-09-01T19:00:00,3.781
2024-09-01T20:00:00,4.113
2024-09-01T21:00:00,4.136
2024-09-01T22:00:00,4.096
2024-09-01T23:00:00,4.072
2024-09-02T00:00:00,4.473
2024-09-02T01:00:00,3.68
2024-09-02T02:00:00,3.984
2024-09-02T03:00:00,4.34
2024-09-02T04:00:00,4.379
2024-09-02T05:00:00,3.573
2024-09-02T06:00:00,3.906
2024-09-02T07:00:00,4.407
2024-09-02T08:00:00,20.152
2024-09-02T09:00:00,20.059
2024-09-02T10:00:00,19.935
2024-09-02T11:00:00,19.885
2024-09-02T12:00:00,20.086
2024-09-02T13:00:00,19.924
2024-09-02T14:00:00,19.987
2024-09-02T15:00:00,20.024
2024-09-02T16:00:00,19.797
2024-09-02T17:00:00,20.16
2024-09-02T18:00:00,20.874
2024-09-02T19:00:00,19.467
2024-09-02T20:00:00,20.097
2024-09-02T21:00:00,19.772
2024-09-02T22:00:00,20.173
2024-09-02T23:00:00,20.014
2024-09-03T00:00:00,20.229
2024-09-03T01:00:00,20.353
2024-09-03T02:00:00,20.058
2024-09-03T03:00:00,20.34
2024-09-03T04:00:00,19.297
2024-09-03T05:00:00,20.477
2024-09-03T06:00:00,20.113
2024-09-03T07:00:00,20.323
2024-09-03T08:00:00,19.634
2024-09-03T09:00:00,19.751
2024-09-03T10:00:00,20.044
2024-09-03T11:00:00,19.995
2024-09-03T12:00:00,20.085
2024-09-03T13:00:00,20.325
2024-09-03T14:00:00,19.47
2024-09-03T15:00:00,20.292
2024-09-03T16:00:00,20.002
2024-09-03T17:00:00,19.939
2024-09-03T18:00:00,19.559
2024-09-03T19:00:00,20.151
2024-09-03T20:00:00,19.276
2024-09-03T21:00:00,20.195
2024-09-03T22:00:00,19.552
2024-09-03T23:00:00,20.016
2024-09-04T00:00:00,19.964
2024-09-04T01:00:00,20.351
2024-09-04T02:00:00,19.946
2024-09-04T03:00:00,19.792
2024-09-04T04:00:00,19.848
2024-09-04T05:00:00,20.382
2024-09-04T06:00:00,20.161
2024-09-04T07:00:00,19.884
2024-09-04T08:00:00,3.929
2024-09-04T09:00:00,3.53
2024-09-04T10:00:00,4.117
2024-09-04T11:00:00,3.472
2024-09-04T12:00:00,4.226
2024-09-04T13:00:00,4.039
2024-09-04T14:00:00,4.716
2024-09-04T15:00:00,3.67
2024-09-04T16:00:00,3.969
2024-09-04T17:00:00,4.539
2024-09-04T18:00:00,4.357
2024-09-04T19:00:00,3.791
2024-09-04T20:00:00,4.067
2024-09-04T21:00:00,4.001
2024-09-04T22:00:00,4.085
2024-09-04T23:00:00,3.79
2024-09-05T00:00:00,3.973
2024-09-05T01:00:00,3.521
2024-09-05T02:00:00,4.041
2024-09-05T03:00:00,4.135
2024-09-05T04:00:00,3.932
2024-09-05T05:00:00,3.515
2024-09-05T06:00:00,4.297
2024-09-05T07:00:00,4.109
2024-09-05T08:00:00,3.782
2024-09-05T09:00:00,3.916
2024-09-05T10:00:00,3.55
2024-09-05T11:00:00,3.692
2024-09-05T12:00:00,3.839
2024-09-05T13:00:00,4.369
2024-09-05T14:00:00,3.808
2024-09-05T15:00:00,4.192
2024-09-05T16:00:00,3.839
2024-09-05T17:00:00,4.074
2024-09-05T18:00:00,3.958
2024-09-05T19:00:00,4.262
2024-09-05T20:00:00,3.84
2024-09-05T21:00:00,3.528
2024-09-05T22:00:00,3.585
2024-09-05T23:00:00,3.84
2024-09-06T00:00:00,3.625
2024-09-06T01:00:00,4.123
2024-09-06T02:00:00,3.86
2024-09-06T03:00:00,4.712
2024-09-06T04:00:00,3.479
2024-09-06T05:00:00,4.061
2024-09-06T06:00:00,3.662
2024-09-06T07:00:00,3.852
2024-09-06T08:00:00,4.042
2024-09-06T09:00:00,3.302
2024-09-06T10:00:00,4.071
2024-09-06T11:00:00,4.571
2024-09-06T12:00:00,3.864
2024-09-06T13:00:00,4.078
2024-09-06T14:00:00,4.307
2024-09-06T15:00:00,3.951
2024-09-06T16:00:00,3.826
2024-09-06T17:00:00,3.317
2024-09-06T18:00:00,4.192
2024-09-06T19:00:00,3.966
2024-09-06T20:00:00,3.696
2024-09-06T21:00:00,4.038
2024-09-06T22:00:00,3.825
2024-09-06T23:00:00,3.841
2024-09-07T00:00:00,4.182
2024-09-07T01:00:00,3.598
2024-09-07T02:00:00,4.314
2024-09-07T03:00:00,3.581
2024-09-07T04:00:00,3.801
2024-09-07T05:00:00,4.577
2024-09-07T06:00:00,4.338
2024-09-07T07:00:00,4.029
2024-09-07T08:00:00,3.718
2024-09-07T09:00:00,3.841
2024-09-07T10:00:00,4.022
2024-09-07T11:00:00,4.011
2024-09-07T12:00:00,3.973
2024-09-07T13:00:00,3.991
2024-09-07T14:00:00,3.936
2024-09-07T15:00:00,3.567
2024-09-07T16:00:00,3.845
2024-09-07T17:00:00,4.274
2024-09-07T18:00:00,3.589
2024-09-07T19:00:00,3.943
2024-09-07T20:00:00,3.754
2024-09-07T21:00:00,4.033
2024-09-07T22:00:00,3.883
2024-09-07T23:00:00,4.443
2024-09-08T00:00:00,4.152
2024-09-08T01:00:00,3.606
2024-09-08T02:00:00,4.201
2024-09-08T03:00:00,3.768
2024-09-08T04:00:00,3.827
2024-09-08T05:00:00,4.094
2024-09-08T06:00:00,3.852
2024-09-08T07:00:00,4.268
2024-09-08T08:00:00,3.768
