timestamp,temperature_celsius
2024-09-01T08:00:00,4.669
2024-09-01T09:00:00,3.53
2024-09-01T10:00:00,4.378
2024-09-01T11:00:00,4.41
2024-09-01T12:00:00,3.744
2024-09-01T13:00:00,4.669
2024-09-01T14:00:00,4.299
2024-09-01T15:00:00,4.291
2024-09-01T16:00:00,4.008
2024-09-01T17:00:00,3.935
2024-09-01T18:00:00,3.937
2024-09-01T19:00:00,4.117
2024-09-01T20:00:00,4.42
2024-09-01T21:00:00,4.054
2024-09-01T22:00:00,3.727
2024-09-01T23:00:00,4.247
2024-09-02T00:00:00,4.276
2024-09-02T01:00:00,4.196
2024-09-02T02:00:00,4.224
2024-09-02T03:00:00,3.919
2024-09-02T04:00:00,3.721
2024-09-02T05:00:00,3.74
2024-09-02T06:00:00,3.509
2024-09-02T07:00:00,4.071
2024-09-02T08:00:00,-4.762
2024-09-02T09:00:00,-5.031
2024-09-02T10:00:00,3.113
2024-09-02T11:00:00,3.626
2024-09-02T12:00:00,4.336
2024-09-02T13:00:00,3.801
2024-09-02T14:00:00,4.108
2024-09-02T15:00:00,3.583
2024-09-02T16:00:00,4.432
2024-09-02T17:00:00,3.957
2024-09-02T18:00:00,4.087
2024-09-02T19:00:00,4.698
2024-09-02T20:00:00,4.455
2024-09-02T21:00:00,3.908
2024-09-02T22:00:00,3.822
2024-09-02T23:00:00,3.902
2024-09-03T00:00:00,4.153
2024-09-03T01:00:00,3.968
2024-09-03T02:00:00,3.881
2024-09-03T03:00:00,4.44
2024-09-03T04:00:00,3.966
2024-09-03T05:00:00,4.69
2024-09-03T06:00:00,4.027
2024-09-03T07:00:00,4.536
2024-09-03T08:00:00,4.107
2024-09-03T09:00:00,4.289
2024-09-03T10:00:00,3.783
2024-09-03T11:00:00,3.744
2024-09-03T12:00:00,4.138
2024-09-03T13:00:00,4.297
2024-09-03T14:00:00,4.012
2024-09-03T15:00:00,3.614
2024-09-03T16:00:00,3.592
2024-09-03T17:00:00,3.572
2024-09-03T18:00:00,3.47
2024-09-03T19:00:00,4.033
2024-09-03T20:00:00,4.338
2024-09-03T21:00:00,3.996
2024-09-03T22:00:00,3.322
2024-09-03T23:00:00,3.943
2024-09-04T00:00:00,3.951
2024-09-04T01:00:00,4.629
2024-09-04T02:00:00,3.563
2024-09-04T03:00:00,3.883
2024-09-04T04:00:00,4.512
2024-09-04T05:00:00,4.135
2024-09-04T06:00:00,4.169
2024-09-04T07:00:00,4.034
2024-09-04T08:00:00,4.099
2024-09-04T09:00:00,4.233
2024-09-04T10:00:00,3.757
2024-09-04T11:00:00,4.263
2024-09-04T12:00:00,3.588
2024-09-04T13:00:00,4.099
2024-09-04T14:00:00,4.054
2024-09-04T15:00:00,3.815
2024-09-04T16:00:00,3.993
2024-09-04T17:00:00,3.813
2024-09-04T18:00:00,3.678
2024-09-04T19:00:00,3.894
2024-09-04T20:00:00,3.669
2024-09-04T21:00:00,4.097
2024-09-04T22:00:00,3.655
2024-09-04T23:00:00,4.214
2024-09-05T00:00:00,3.646
2024-09-05T01:00:00,3.83
2024-09-05T02:00:00,3.813
2024-09-05T03:00:00,4.398
2024-09-05T04:00:00,4.099
2024-09-05T05:00:00,3.936
2024-09-05T06:00:00,4.15
2024-09-05T07:00:00,3.368
2024-09-05T08:00:00,3.987
2024-09-05T09:00:00,4.599
2024-09-05T10:00:00,4.04
2024-09-05T11:00:00,4.02
2024-09-05T12:00:00,4.164
2024-09-05T13:00:00,4.269
2024-09-05T14:00:00,3.401
2024-09-05T15:00:00,3.495
2024-09-05T16:00:00,4.063
2024-09-05T17:00:00,3.786
2024-09-05T18:00:00,4.394
2024-09-05T19:00:00,3.905
2024-09-05T20:00:00,3.42
2024-09-05T21:00:00,3.62
